"ID","Company","Incident_date","Days_of_the_Wk","Months_of_the_Yr","Years","Contaminant","Type_of_fa","Cause","Site_locat","Latitude","Longitude","LGA","States_affected","Spill_area","MoY","DoW"
"1","SPDC","2010-01-03","Sun","Jan","2010","cr"," ","sab","12"" IMR-EBUBU T/L AT KOMKOM","4.878083","7.172556","Oyigbo","RI","la","1","1"
"2","SPDC","2010-01-03","Sun","Jan","2010","cr"," ","sab","8"" ISIMIRI D/L AT ISIMIRI","4.878194","7.230583","Ukwa West","AB","sw","1","1"
"3","NAOC","2010-01-05","Tue","Jan","2010","cr"," ","sab","24"" OGODA/BRASS P/L ODAU","4.8335556","6.4988889","Abua-Odual","RI","la","1","3"
"4","SPDC","2010-01-05","Tue","Jan","2010","cr"," ","sab","Kokori d\L","5.597444","6.068583","Ughelli-North","DE","la","1","3"
"5","NAOC","2010-01-06","Wed","Jan","2010","cr"," ","sab","18"" TEBIDABA/BRASS P/L AT OGONIGBENE 1 M8 RISER","4.4748889","6.1278333","Brass","BY","sw","1","4"
"6","SPDC","2010-01-06","Wed","Jan","2010","cr"," ","sab","18"" ASSA-RUMUEKPE AT EGBEDA","5.2405","6.770139","Emuoha","RI","la","1","4"
"7","SPDC","2010-01-06","Wed","Jan","2010","cr"," ","sab","18"" ASSA-RUMUEKPE AT AWARA","5.287944","6.781194","Ohaji/Egbema","IM","la","1","4"
"8","SPDC","2010-01-07","Thu","Jan","2010","cr"," ","sab","24"" TNP AT BERA 1","4.678333","7.27675","Gokana","RI","la","1","5"
"9","SPDC","2010-01-07","Thu","Jan","2010","cr"," ","sab","10"" D/L AT EGBEMA WEST","5.563944","6.728944","Ohaji/Egbema","IM","la","1","5"
"10","NAOC","2010-01-08","Fri","Jan","2010","cr"," ","sab","18"" TEBIDABA/BRASS P/L AT OYEREGBENE","4.5052056","6.0559667","Southern Ijaw","BY","sw","1","6"
"11","CHEVRON","2010-01-08","Fri","Jan","2010","cr","pl","sab","Utonan-Abiteye 16"" Warri Southwest L.G.A., Delta State.","5.6994444","5.3316667","Warri-South-West","DE","sw","1","6"
"12","SPDC","2010-01-10","Sun","Jan","2010","cr"," ","sab","OGINI WELL 7LS","5.5665","6.325417","Isoko-North","DE","la","1","1"
"13","NAOC","2010-01-12","Tue","Jan","2010","gs"," ","sab","8"" FUEL GAS DELIVERY LINE @ KM 42","5.09525","6.8889722","Ikwerre","RI","la","1","3"
"14","NAOC","2010-01-13","Wed","Jan","2010","cr"," ","sab","6"" BENIBOYE @ OKUNTU","5.3401944","5.3644444","Burutu","DE","sw","1","4"
"15","SPDC","2010-01-13","Wed","Jan","2010","cr"," ","sab","IMOR 2 W/28 AT ADAGWA","4.991722","7.160972","Etche","RI","la","1","4"
"16","NAOC","2010-01-13","Wed","Jan","2010","gs"," ","sab","ODUGRI 5L F/L AT ODUGRI, ONELGA","5.6564694","6.6293556","Ogba/Egbema/Ndoni","RI","la","1","4"
"17","NAOC","2010-01-13","Wed","Jan","2010","cr"," ","sab","IDU 6L F/L NEAR IDU MANIFOLD, ONELGA","5.2598361","6.5734944","Ogba/Egbema/Ndoni","RI","la","1","4"
"18","NAOC","2010-01-13","Wed","Jan","2010","cr"," ","sab","14"" OGBOINBIRI/TEBIDABA AT AZUZUAMA/KROKROSEI","4.7397778","5.9754444","Southern Ijaw","BY","sw","1","4"
"19","SPDC","2010-01-18","Mon","Jan","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT BAKANA","4.732944","6.955694","Degema","RI","sw","1","2"
"20","SPDC","2010-01-18","Mon","Jan","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT BUGUMA","4.732806","6.958083","Degema","RI","sw","1","2"
"21","SPDC","2010-01-18","Mon","Jan","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT BAKANA","4.732806","6.958083","Degema","RI","sw","1","2"
"22","SPDC","2010-01-18","Mon","Jan","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT BAKANA","4.732806","6.958083","Degema","RI","sw","1","2"
"23","NAOC","2010-01-18","Mon","Jan","2010","gs"," ","sab","OBIAFU 27T F/L AT LOCATION AREA","5.4230861","6.611875","Ogba/Egbema/Ndoni","RI","la","1","2"
"24","NAOC","2010-01-18","Mon","Jan","2010","cr"," ","sab","18"" TEBIDABA/BRASS F/L@ OYEREBGENE(2)","4.5051944","6.0559167","Southern Ijaw","BY","sw","1","2"
"25","NAOC","2010-01-22","Fri","Jan","2010","gs"," ","sab","EBEGORO 12S F/L AT LOCATION AREA","5.3646194","6.6680444","Ogba/Egbema/Ndoni","RI","la","1","6"
"26","SPDC","2010-01-25","Mon","Jan","2010","cr"," ","sab","8"" ISIMIRI D/L AT OBEAKPU","4.883944","7.203361","Ukwa West","AB","la","1","2"
"27","NAOC","2010-01-26","Tue","Jan","2010","cr"," ","sab","8"" NEMBE SOUTH P/L AT KIMINIM IGAKUBURI","4.6018611","6.3120556","Nembe","BY","sw","1","3"
"28","NAOC","2010-01-26","Tue","Jan","2010","cr"," ","sab","8"" PIRIGBENE W 1L/S F/L AT PIRIGBENE 3","4.6213333","6.1967222","Southern Ijaw","BY","sw","1","3"
"29","NAOC","2010-01-26","Tue","Jan","2010","cr"," ","sab","8"" PIRIGBENE W 1L/S F/L AT PIRIGBENE 2","4.6213333","6.1967222","Southern Ijaw","BY","sw","1","3"
"30","NAOC","2010-01-26","Tue","Jan","2010","cr"," ","sab","8"" PIRIGBENE W 1L/S F/L AT PIRIGBENE 1","4.6213056","6.1967222","Southern Ijaw","BY","sw","1","3"
"31","NAOC","2010-02-01","Mon","Feb","2010","cr"," ","sab","8"" NEMBE SOUTH/OBAMA P/L AT SABATORU 1","4.6036667","6.33375","Nembe","BY","sw","2","2"
"32","NAOC","2010-02-01","Mon","Feb","2010","cr"," ","sab","EOC 9T F/L ALONG OLD EOC FERRY","5.4307861","6.5809889","Ogba/Egbema/Ndoni","RI","la","2","2"
"33","NAOC","2010-02-02","Tue","Feb","2010","gs"," ","sab","OSHIE 2S NEAR ORASHIE RIVER CROSSING","5.1001611","6.5045556","Ahoada West","RI","la","2","3"
"34","NAOC","2010-02-02","Tue","Feb","2010","cr"," ","sab","OBIAFU 31S F/L ALONG LOCATION ROAD","5.4423306","6.6015444","Ogba/Egbema/Ndoni","RI","la","2","3"
"35","NAOC","2010-02-02","Tue","Feb","2010","cr"," ","sab","OBIAFU 37T F/L BEHIND LOCATION FENCE","5.3991611","6.5809889","Ogba/Egbema/Ndoni","RI","la","2","3"
"36","NAOC","2010-02-02","Tue","Feb","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA P/L AT AZUZUAMA(2)","4.6778611","5.9039722","Southern Ijaw","BY","sw","2","3"
"37","NAOC","2010-02-07","Sun","Feb","2010","cr"," ","sab","18"" EOC/OGODA D/L P/L AT OKPOSI","5.3129972","6.6366472","Ogba/Egbema/Ndoni","RI","la","2","1"
"38","SPDC","2010-02-07","Sun","Feb","2010","gs"," ","sab","ODIDI 2F/S USEFA WEE HEAD","5.576111","5.41975","Warri-South-West","DE"," ","2","1"
"39","NAOC","2010-02-08","Mon","Feb","2010","cr"," ","sab","4"" OBIAFU 17T F/L AFTER EDIA CREEK","5.4027778","6.5804583","Ogba/Egbema/Ndoni","RI","la","2","2"
"40","NAOC","2010-02-09","Tue","Feb","2010","CON"," ","sab","OGBOGENE 1L F/L ALONG LOC ACCESS RD","5.4488889","6.5804583","Ogba/Egbema/Ndoni","RI","la","2","3"
"41","NAOC","2010-02-09","Tue","Feb","2010","cr"," ","sab","14"" OGBOINBIRI/TEBIDABA P/L AT KEME-EBIAMA I","4.7905","5.9731389","Southern Ijaw","BY","sw","2","3"
"42","NAOC","2010-02-09","Tue","Feb","2010","cr"," ","sab","6"" OSIAMA/OGBOINBIRI F/L AT KEME-EBIAMA 2","4.7899444","5.9739444","Southern Ijaw","BY","sw","2","3"
"43","NAOC","2010-02-09","Tue","Feb","2010","cr"," ","sab","14"" OGBOINBIRI/TEBIDABA P/L AT KEME-EBIAMA 3","4.7895833","5.9739444","Southern Ijaw","BY","sw","2","3"
"44","NAOC","2010-02-11","Thu","Feb","2010","cr"," ","sab","24"" OGODA BRASS P/L OBODHI","4.968","6.5135694","Ahoada-West","RI","la","2","5"
"45","NAOC","2010-02-14","Sun","Feb","2010","CON"," ","sab","TAYLOR CREEK 1 T F/L AT ORASHI R/L OSHIE","5.10325","6.4851944","Ahoada West","RI","la","2","1"
"46","NAOC","2010-02-14","Sun","Feb","2010","cr"," ","sab","4"" EBOCHA 5T F/L NEAR MGBEDE 8 LOC","5.4557778","6.6923417","Ogba/Egbema/Ndoni","RI","la","2","1"
"47","NAOC","2010-02-14","Sun","Feb","2010","cr"," ","sab","4"" EBOCHA 20T F/L BEHIND EOC","5.4557556","6.6932167","Ogba/Egbema/Ndoni","RI","la","2","1"
"48","NAOC","2010-02-14","Sun","Feb","2010","cr"," ","sab","4"" EBOCHA 21 T F/L","5.4551889","6.6912361","Ogba/Egbema/Ndoni","RI","la","2","1"
"49","NAOC","2010-02-14","Sun","Feb","2010"," "," ","sab","ALINSO B LOCATION","5.3498889","6.6316111","Ogba/Egbema/Ndoni","RI","la","2","1"
"50","SPDC","2010-02-16","Tue","Feb","2010","cr","fl","sab","ERIEMU WELL 19 LIMA F/L","5.535444","6.036333","Ughelli-North","DE","la","2","3"
"51","NDPR","2010-02-17","Wed","Feb","2010","cr"," ","sab","6"" EXPORT LINE AT RUMUEKPE","4.96275","6.6826944","Emuoha","RI","la","2","4"
"52","SPDC","2010-02-19","Fri","Feb","2010","cr"," ","sab","OWEH WELL 8 F/L LIMA","5.493639","6.118556","Isoko-North","DE"," ","2","6"
"53","NAOC","2010-02-21","Sun","Feb","2010","cr"," ","sab","8"" PIRIGBENE W3TBG F/L AT PIRIGBENE 4","4.613","6.2054722","Nembe","BY","sw","2","1"
"54","NAOC","2010-02-21","Sun","Feb","2010","gs"," ","sab","OBIAFU 33L NEAR EOC FLARE AREA","5.4560556","6.6925","Ogba/Egbema/Ndoni","RI","la","2","1"
"55","NAOC","2010-02-21","Sun","Feb","2010","CON"," ","sab","OGBEGENE 1S F/L NEAR LOCATION","5.4453611","6.5817778","Ogba/Egbema/Ndoni","RI","la","2","1"
"56","NAOC","2010-02-24","Wed","Feb","2010","gs"," ","sab","EBOCHA 18TBG F/L AT LOCATION","5.4546667","6.6775056","Ogba/Egbema/Ndoni","RI","la","2","4"
"57","NAOC","2010-02-24","Wed","Feb","2010","cr"," ","sab","14"" AKRI-EOC P/L AT ABACHEKE","5.5312222","6.7173889","Ohaji/Egbema","IM","sw","2","4"
"58","SPDC","2010-02-27","Sat","Feb","2010","cr"," ","sab","8"" ISIMIRI D/L AT OBEAKPU","4.883944","7.203361","Ukwa West","AB","la","2","7"
"59","NAOC","2010-03-02","Tue","Mar","2010","CON"," ","sab","10'' IRRI/KWALE PIPELINE @OFAGBE","5.5238056","6.346","Isoko-North","DE","la","3","3"
"60","NAOC","2010-03-03","Wed","Mar","2010","cr"," ","sab","18"" TEBIDABA/BRASS P/L AT MBASIKIRI (I) (M4 RISER)","4.4053333","6.2617639","Nembe","BY","sw","3","4"
"61","NAOC","2010-03-04","Thu","Mar","2010","cr"," ","sab","24"" OGODA/BRASS P/L AT OZOCHI","4.966625","6.5139806","Ahoada-West","RI","la","3","5"
"62","NAOC","2010-03-05","Fri","Mar","2010","cr"," ","sab","OGBOGENE 1S F/L AT OBE 6 ACCESS","5.4379889","6.5856556","Ogba/Egbema/Ndoni","RI","la","3","6"
"63","NAOC","2010-03-07","Sun","Mar","2010","cr"," ","sab","EBEGORO 6L F/L AT OBRIKOM II ACCESS RD","5.3792611","6.6528306","Ogba/Egbema/Ndoni","RI","la","3","1"
"64","NAOC","2010-03-07","Sun","Mar","2010","cr"," ","sab","TEBIDABA WELL 12 4"" F/L @ TEBIDABA F/S","4.5571111","5.92475","Southern Ijaw","BY","sw","3","1"
"65","SPDC","2010-03-07","Sun","Mar","2010","cr","pl","sab","20"" KOLO CREECK/RUMUEKPE P/L @OGBOGOLO","4.9472528","6.558"," ","RI","la","3","1"
"66","NAOC","2010-03-08","Mon","Mar","2010","gs"," ","sab","EBOCHA 5T F/L AT LOCATION ACCESS RD","5.4491944","6.6414694","Ogba/Egbema/Ndoni","RI","la","3","2"
"67","NAOC","2010-03-08","Mon","Mar","2010","cr"," ","sab","24"" OGBOINBIRI/OGODA P/L @ UMBUGBENE","4.8094222","6.0504222","Southern Ijaw","BY","sw","3","2"
"68","NAOC","2010-03-08","Mon","Mar","2010","cr"," ","sab","14"" OGBONBIRI/TEBIDABA P/L @ IKEBIRI","4.6685833","5.9602778","Southern Ijaw","BY","sw","3","2"
"69","NAOC","2010-03-11","Thu","Mar","2010","cr"," ","sab","OBRIKOM 2T F/L NEAR EDIA BRIDGE","5.401","6.6200556","Ogba/Egbema/Ndoni","RI","la","3","5"
"70","SPDC","2010-03-13","Sat","Mar","2010","cr"," ","sab","24"" BOMU-BONNY TNP AT OWOKIRI","4.573861","7.255167","Bonny","RI","sw","3","7"
"71","NAOC","2010-03-14","Sun","Mar","2010"," "," ","sab","OKPAI 7 L 4' FLOWLINE","5.69425","6.5152778","Ndokwa-East","DE"," ","3","1"
"72","SPDC","2010-03-15","Mon","Mar","2010","cr"," ","sab","28"" NKPOLU-BOMU TNP AT ELELENWO","4.852556","7.071944","Obio/Akpor","RI","la","3","2"
"73","NAOC","2010-03-16","Tue","Mar","2010","cr"," ","sab","14"" OGBONBIRI/TEBIDABA P/L @ IKEBIRI(3)","4.67625","5.9610278","Southern Ijaw","BY","sw","3","3"
"74","NAOC","2010-03-16","Tue","Mar","2010","cr"," ","sab","14"" OGBONBIRI/TEBIDABA P/L @ IKEBIRI(2)","4.6683611","5.9604444","Southern Ijaw","BY","sw","3","3"
"75","SPDC","2010-03-18","Thu","Mar","2010","cr"," ","sab","10"" DIEBU CREEK /NUN RIVER D/L AT OPOROMA","4.779583","6.105778","Southern Ijaw","BY","sw","3","5"
"76","SPDC","2010-03-19","Fri","Mar","2010","cr"," ","sab","20"" BUGUMA-ALAKIRI AT ABIAMA","4.746694","6.874528","Asari-Toru","RI","sw","3","6"
"77","SPDC","2010-03-19","Fri","Mar","2010","cr","fl","sab","OWEH WELL 8/11 FLOW LINE AT OWEH","5.493583","6.118528","Isoko-North","DE","la","3","6"
"78","NAOC","2010-03-21","Sun","Mar","2010","cr"," ","sab","24"" OGBOINBIRI/OGODA P/L @ UMBUGBENE(2)","4.8092","6.0510222","Southern Ijaw","BY","sw","3","1"
"79","SPDC","2010-03-22","Mon","Mar","2010","cr"," ","sab","8"" ISIMIRI D/L AT OBEAKPU","4.883944","7.203417","Ukwa West","AB","la","3","2"
"80","NAOC","2010-03-24","Wed","Mar","2010","cr"," ","sab","24"" OGODA/BRASS AT OZOCHI","4.9665444","6.5135556","Ahoada West","RI","la","3","4"
"81","NAOC","2010-03-27","Sat","Mar","2010","gs"," ","sab","OBIAFU 16SS","5.43275","6.5994722","Ogba/Egbema/Ndoni","RI","la","3","7"
"82","NAOC","2010-03-27","Sat","Mar","2010","cr"," ","sab","6"" OLUGBOBIRI/OGBOINBIRI F/L AT IKIENGHBIRI 2","4.7106111","5.9871944","Southern Ijaw","BY","sw","3","7"
"83","NAOC","2010-03-27","Sat","Mar","2010","cr"," ","sab","6"" OLUGBOBIRI/OGBOINBIRI F/L AT IKIENGHBIRI 3","4.7105278","5.9839722","Southern Ijaw","BY","sw","3","7"
"84","NAOC","2010-04-01","Thu","Apr","2010","cr"," ","sab","24"" OGODA/BRASS P/L AT AMURUTA EMAGO AXIS","4.7321111","6.4327222","Ogbia","BY","sw","4","5"
"85","NAOC","2010-04-02","Fri","Apr","2010","cr"," ","sab","4"" OGBOGENE 1 LSS F/L","5.4458972","6.5817111","Ogba/Egbema/Ndoni","RI","la","4","6"
"86","SPDC","2010-04-04","Sun","Apr","2010","cr"," ","sab","BONNY WELL 12S AT BONNY","4.465528","7.185028","Bonny","RI","sw","4","1"
"87","NAOC","2010-04-06","Tue","Apr","2010","cr"," ","sab","EBEGORO 2S F/L AT OMOKU","5.3835056","6.6504556","Ogba/Egbema/Ndoni","RI","la","4","3"
"88","NAOC","2010-04-07","Wed","Apr","2010","gs"," ","sab","MGBEDE 8S F/L AT EBOCHA","5.3924167","6.6553333","Ogba/Egbema/Ndoni","RI","la","4","4"
"89","NAOC","2010-04-11","Sun","Apr","2010","cr"," ","sab","24"" OGBOINBIRI/OGODA P/L AT OPOROMA 3","4.8114722","6.0626944","Southern Ijaw","BY","sw","4","1"
"90","NAOC","2010-04-11","Sun","Apr","2010","cr"," ","sab","24"" OGBOINBIRI/OGODA P/L AT OPOROMA 2","4.8114167","6.0625833","Southern Ijaw","BY","sw","4","1"
"91","NAOC","2010-04-11","Sun","Apr","2010","cr"," ","sab","24"" OGBOINBIRI/OGODA P/L AT OPOROMA 1","4.8113611","6.0624722","Southern Ijaw","BY","sw","4","1"
"92","NAOC","2010-04-11","Sun","Apr","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA P/L AT AZUZUAMA 5","4.6803611","5.9015556","Southern Ijaw","BY","sw","4","1"
"93","NAOC","2010-04-13","Tue","Apr","2010","gs"," ","sab","OBIAFU 11L F/L @ OBRIKOM","5.4036389","6.6221667","Ogba/Egbema/Ndoni","RI","la","4","3"
"94","NAOC","2010-04-13","Tue","Apr","2010","gs"," ","sab","OBIAFU 6S F/L @ OBRIKOM","5.4036389","6.6221667","Ogba/Egbema/Ndoni","RI","la","4","3"
"95","NAOC","2010-04-14","Wed","Apr","2010","cr"," ","sab","OBIAFU 27L F/L @ OBRIKOM","5.4031389","6.6228056","Ogba/Egbema/Ndoni","RI","la","4","4"
"96","NAOC","2010-04-14","Wed","Apr","2010","cr"," ","sab","14"" OGBOINBIRI/TEBIDABA P/L AT AZUZUAMA/KROKROSEI","4.7395278","5.9754167","Southern Ijaw","BY","sw","4","4"
"97","NAOC","2010-04-16","Fri","Apr","2010","gs"," ","sab","4"" MGBEDE 15S F/L BEHIND MGBEDE LOCATION","5.4559167","6.6228056","Ogba/Egbema/Ndoni","RI","la","4","6"
"98","SPDC","2010-04-17","Sat","Apr","2010","cr"," ","sab","18"" SOKU-BUGUMA GPHSL AT SOKU","4.650778","6.645306","Akuku Toru","RI","sw","4","7"
"99","SPDC","2010-04-17","Sat","Apr","2010","cr"," ","sab","18"" SOKU-BUGUMA GPHSL AT SOKU","4.650417","6.637222","Akuku Toru","RI","sw","4","7"
"100","SPDC","2010-04-17","Sat","Apr","2010","cr"," ","sab","18"" SOKU-BUGUMA GPHSL AT SOKU","4.650389","6.653222","Akuku Toru","RI","sw","4","7"
"101","NAOC","2010-04-21","Wed","Apr","2010","gs"," ","sab","4"" OBAMA/BRASS GAS LINE NEAR BUMA RICE FARM","4.5536944","6.2527222","Nembe","BY","sw","4","4"
"102","NAOC","2010-04-21","Wed","Apr","2010","cr"," ","sab","OBIAFU 13L F/L @ OBRIKOM 2 LOC. AREA","5.4031111","6.6229444","Ogba/Egbema/Ndoni","RI","la","4","4"
"103","SPDC","2010-04-22","Thu","Apr","2010","cr"," ","sab","20"" KOLO CRK-RUMUEKPE T/L AT OGBOGOLO","4.9472722","6.5580278"," ","RI","la","4","5"
"104","NAOC","2010-04-25","Sun","Apr","2010","cr"," ","sab","24"" OGODA/BRASS P/L AT EMAGOKUGBO 3","4.71333","6.43","Abua-Odual","RI","la","4","1"
"105","NAOC","2010-04-25","Sun","Apr","2010","cr"," ","sab","24"" OGODA/BRASS PL AT EMAGO-KUGBE (2)","4.7022222","6.4325","Abua-Odual","RI","la","4","1"
"106","NAOC","2010-04-26","Mon","Apr","2010","cr"," ","sab","4"" TAYLOR CREEK 1TBG F/L AT AKINIMA","5.107875","6.4781083","Ahoada West","RI","la","4","2"
"107","NAOC","2010-04-26","Mon","Apr","2010","cr"," ","sab","4"" TAYLOR CREEK 1TBG F/L AT OSHIE","5.1036333","6.4822389","Ahoada West","RI","la","4","2"
"108","NAOC","2010-04-26","Mon","Apr","2010","cr"," ","sab","OKPAI 12'' F/L @ BENEKU","5.6570833","6.5174444","Ndokwa-East","DE","sw","4","2"
"109","SPDC","2010-04-27","Tue","Apr","2010","CON"," ","sab","18"" SOKU-EKULAMA P/L AT GAS PLANT","4.65525","6.64675","Akuku Toru","RI","sw","4","3"
"110","NAOC","2010-04-27","Tue","Apr","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA PL AT GBARAUN 6","4.7877222","5.7672778","Southern Ijaw","BY","sw","4","3"
"111","NAOC","2010-04-28","Wed","Apr","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA AT AZUZUAMA 7","4.70255","5.91897","Southern Ijaw","BY","sw","4","4"
"112","NAOC","2010-04-28","Wed","Apr","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA AT AZUZUAMA 9","4.67968","5.90235","Southern Ijaw","BY","sw","4","4"
"113","SPDC","2010-05-01","Sat","May","2010","cr"," ","sab","OLOMORO WELL 8 ROW 4'' F/L.","5.452611","6.191167","Isoko-South","DE","la","5","7"
"114","SPDC","2010-05-02","Sun","May","2010","CON"," ","sab","28"" TRANS FORCADOS P/L, CHANOMU","5.426639","5.384667","Warri-South-West","DE"," ","5","1"
"115","NAOC","2010-05-04","Tue","May","2010","cr"," ","sab","TAYLOR CREEK 1T F/L ALONG OSHIE 6","5.1019472","6.4890333","Ahoada West","RI","la","5","3"
"116","NAOC","2010-05-04","Tue","May","2010","cr"," ","sab","OSHIE 4L F/L WITHIN LOC AREA AKARAULU","5.10105","6.5091722","Ahoada West","RI","la","5","3"
"117","NAOC","2010-05-05","Wed","May","2010","cr"," ","sab","24"" OGODA/BRASS P/L AT OBODHI","4.9663472","6.5139222","Ahoada West","RI","la","5","4"
"118","SPDC","2010-05-05","Wed","May","2010","cr"," ","sab","28"" EBUBU/BOMUI TNP AT B.DERE","4.691194","7.254333","Gokana","RI","la","5","4"
"119","SPDC","2010-05-05","Wed","May","2010","cr"," ","sab","24"" NKPOKU/BOMU TNP AT BERA","4.685972","7.277778","Gokana","RI","la","5","4"
"120","SPDC","2010-05-05","Wed","May","2010","cr"," ","sab","24"" NKPOKU/BOMU TNP AT BERA","4.684444","7.277389","Gokana","RI","la","5","4"
"121","SPDC","2010-05-05","Wed","May","2010","cr"," ","sab","24"" NKPOKU/BOMU TNP AT BERA","4.684139","7.277333","Gokana","RI","la","5","4"
"122","SPDC","2010-05-05","Wed","May","2010","cr"," ","sab","24"" NKPOKU/BOMU TNP AT BERA","4.679194","7.276778","Gokana","RI","la","5","4"
"123","NAOC","2010-05-06","Thu","May","2010","cr"," ","sab","10"" CLOUGH CREEK/ TEBIDABA P/L @ AZAGBENE 3","4.8063333","5.7345833","Ekeremor","BY","sw","5","5"
"124","NAOC","2010-05-06","Thu","May","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA PL AT AZAGBENE 2","4.8058611","5.7351667","Ekeremor","BY","sw","5","5"
"125","NAOC","2010-05-06","Thu","May","2010","cr"," ","sab","18"" OBAMA/BRASS P/L AT ONIKIRI","4.4856","6.25843","Nembe","BY","sw","5","5"
"126","NAOC","2010-05-07","Fri","May","2010","cr"," ","sab","IDU 8L NEEDLE VALVE AT LOC","5.2774222","6.5410722","Ogba/Egbema/Ndoni","RI","la","5","6"
"127","NAOC","2010-05-07","Fri","May","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA AT AZUZUAMA 10","4.68612","5.89583","Southern Ijaw","BY","sw","5","6"
"128","NAOC","2010-05-07","Fri","May","2010","cr"," ","sab","10"" CLOUGH CREEK/TEBIDABA AT AZUZUAMA 11","4.68212","5.89973","Southern Ijaw","BY","sw","5","6"
"129","NAOC","2010-05-08","Sat","May","2010","cr"," ","sab","18"" TEBIDABA/BRASS PIPELINE AT LAGOSGBENE 5","4.4698611","6.15025","Nembe","BY","sw","5","7"
"130","NAOC","2010-05-11","Tue","May","2010","cr"," ","sab","18"" TEBIDABA/ BRASS PIPELINE AT MBIKIBA","4.4744222","6.1136111","Brass","BY","sw","5","3"
"131","NAOC","2010-05-11","Tue","May","2010","cr"," ","sab","18"" TEBIDABA/ BRASS PIPELINE AT MANSONKIRI","4.46275","6.188425","Nembe","BY","sw","5","3"
"132","NAOC","2010-05-11","Tue","May","2010","cr"," ","sab","18"" EOC/OGODA P/L AT OMOKU","5.3603889","6.6682222","Ogba/Egbema/Ndoni","RI","la","5","3"
"133","NAOC","2010-05-11","Tue","May","2010","cr"," ","sab","24"" OGBOINBIRI/OGODA PIPELINE AT ORUAM 1","4.9245694","6.4122722","Ogbia","BY","sw","5","3"
"134","NAOC","2010-05-12","Wed","May","2010","cr"," ","sab","18"" EOC/OGODA P/L AT UBETA","5.1676111","6.5893889","Ahoada-West","RI","la","5","4"
"135","NAOC","2010-05-12","Wed","May","2010","cr"," ","sab","14"" AKRI/EOC P/L AT MMAHU","5.5483889","6.7120556","Ohaji/Egbema","IM","la","5","4"
"136","NAOC","2010-05-13","Thu","May","2010","cr"," ","sab","18"" TEBIDABA/ BRASS PIPELINE AT OYEREBENE 5 RISER","4.5088889","6.0407222","Southern Ijaw","BY","sw","5","5"
"137","NAOC","2010-05-13","Thu","May","2010","cr"," ","sab","18"" TEBIDABA/ BRASS PIPELINE AT OYEREBENE 3","4.5009167","6.0653333","Southern Ijaw","BY","sw","5","5"
"138","NAOC","2010-05-13","Thu","May","2010","cr"," ","sab","18"" TEBIDABA/ BRASS PIPELINE AT OYEREBENE 4","4.4979722","6.0722222","Southern Ijaw","BY","sw","5","5"
"139","CHEVRON","2010-05-16","Sun","May","2010","cr","pl","sab","18"" Abiteye- Escravos pipeline, Warri Southwest L.G.A., Delta State.","5.6447222","5.2411111"," ","DE","sw","5","1"
"140","NAOC","2010-05-18","Tue","May","2010","cr"," ","sab","4"" EBOCHA 7 FLOWLINE","5.4471944","6.6563056","Ogba/Egbema/Ndoni","RI","la","5","3"
"141","SPDC","2010-05-18","Tue","May","2010","gs"," ","sab","W/20L F/L AT OGUTA","5.641333","6.70325","Oguta","RI","la","5","3"
"142","SPDC","2010-05-20","Thu","May","2010","cr"," ","sab","10"" DIEBU CRK D/L AT OPOROMA","4.79075","6.107028","Southern Ijaw","BY","sw","5","5"
"143","SPDC","2010-05-21","Fri","May","2010","cr"," ","sab","18"" SOKU-BUGUMA T/L AT ANGULAMA","4.72325","6.840778","Asari-Toru","RI","sw","5","6"
"144","SPDC","2010-05-21","Fri","May","2010","cr"," ","sab","18"" SOKU-BUGUMA T/L AT ANGULAMA","4.722694","6.839944","Asari-Toru","RI","sw","5","6"
"145","SPDC","2010-05-21","Fri","May","2010","cr"," ","sab","18"" SOKU-BUGUMA T/L AT ANGULAMA","4.713","6.825917","Degema","RI","sw","5","6"
"146","SPDC","2010-05-21","Fri","May","2010","cr"," ","sab","18"" SOKU-BUGUMA T/L AT ANGULAMA","4.710583","6.820889","Degema","RI","sw","5","6"
"147","SPDC","2010-05-21","Fri","May","2010","cr"," ","sab","18"" SOKU-BUGUMA T/L AT ANGULAMA","4.71","6.819139","Degema","RI","sw","5","6"
"148","SPDC","2010-05-21","Fri","May","2010","cr"," ","sab","18"" SOKU-BUGUMA T/L AT ANGULAMA","4.702806","6.822417","Degema","RI","sw","5","6"
"149","SPDC","2010-05-21","Fri","May","2010","cr"," ","sab","18"" SOKU-BUGUMA T/L AT ANGULAMA","4.534417","6.841333","Degema","RI","sw","5","6"
"150","NAOC","2010-05-22","Sat","May","2010","cr"," ","sab","TAYLOR CREEK 2S FLOWLINE","5.1030278","6.4858889","Ahoada West","RI","la","5","7"
